fight_id,f_1,f_2,winner,weight_class,result,finish_round,finish_time,knockdownsA,total_strikes_attA,total_strikes_succA,sig_strikes_attA,sig_strikes_succA,takedown_attA,takedown_succA,submission_attA,reversalsA,ctrl_timeA,wins decA,wins subA,wins koA,knockdownsB,total_strikes_attB,total_strikes_succB,sig_strikes_attB,sig_strikes_succB,takedown_attB,takedown_succB,submission_attB,reversalsB,ctrl_timeB,wins decB,wins subB,wins koB
3194,3591.0,1023.0,1,1,2,0,21,0.0,0.19809178743961353,0.1028743961352657,0.15202898550724636,0.06164251207729469,0.0,0.0,0.0,0.0005555555555555556,0.0948792270531401,0,0,0,0.0,0.21782505910165484,0.0737825059101655,0.2067139479905437,0.06267139479905437,0.0022222222222222222,0.0016666666666666668,0.0005555555555555556,0.0,0.02388888888888889,0,0,0
3193,2328.0,2034.0,0,7,2,1,96,0.002824858757062147,0.24215699784116484,0.14105920720224152,0.1607413531762436,0.07725873868908181,0.005420054200542005,0.0040650406504065045,0.0,0.0,0.43801387166414035,0,0,2,0.0,0.1270941118502094,0.08795269770879527,0.11573047548657305,0.07911431387041143,0.0025252525252525255,0.0,0.0,0.0012626262626262627,0.31313131313131315,0,0,1
3192,3125.0,4074.0,1,4,2,0,300,0.0,0.15000000000000002,0.0811111111111111,0.11555555555555556,0.050555555555555555,0.006666666666666666,0.0005555555555555556,0.0,0.0005555555555555556,0.12333333333333332,1,0,0,0.0,0.1542753623188406,0.06615942028985507,0.13120772946859904,0.04642512077294686,0.005,0.002777777777777778,0.0,0.0,0.1597342995169082,1,0,0
3191,2846.0,219.0,1,3,0,2,900,0.0,0.16587752525252525,0.10645517676767677,0.11042718855218855,0.05360900673400673,0.0026041666666666665,0.0026041666666666665,0.0026041666666666665,0.0,0.4192708333333333,0,1,0,0.0,0.1322222222222222,0.10861111111111112,0.043055555555555555,0.026111111111111113,0.011944444444444445,0.009166666666666667,0.006944444444444444,0.0,0.6055555555555556,1,1,0
3190,3118.0,1156.0,1,3,1,2,894,0.0,0.10301874163319946,0.026492637215528782,0.1024631860776439,0.025937081659973226,0.012048192771084338,0.0,0.0005555555555555556,0.0,0.015381526104417672,0,0,0,0.0012077294685990338,0.18689722527424615,0.06209996686374021,0.18085857793125099,0.057269048989344075,0.0,0.0,0.0,0.0,0.008454106280193236,0,0,1
3186,1401.0,2052.0,0,2,1,2,210,0.0,0.10334967320261437,0.07144199346405229,0.07214869281045752,0.04594771241830066,0.008484477124183007,0.0038684640522875817,0.0035049019607843136,0.0,0.3103227124183007,1,1,0,0.0,0.18333333333333335,0.1111111111111111,0.12111111111111111,0.05111111111111111,0.010555555555555556,0.0022222222222222222,0.0,0.0,0.31333333333333335,1,0,0
3184,3842.0,2380.0,0,6,0,2,900,0.0,0.12055555555555555,0.08055555555555555,0.07222222222222222,0.037222222222222226,0.007222222222222222,0.002777777777777778,0.0,0.0,0.22277777777777777,1,0,0,0.0018726591760299626,0.14778161912993373,0.09084557764333046,0.11569432440218957,0.0662993373667531,0.003795736099106886,0.0018726591760299626,0.0,0.0,0.18659608182080092,0,0,1
3183,358.0,1315.0,0,3,0,2,900,0.0,0.14166666666666666,0.08777777777777777,0.09388888888888888,0.04166666666666667,0.002777777777777778,0.0016666666666666668,0.0,0.0005555555555555556,0.44166666666666665,2,0,0,0.0,0.18127450980392157,0.07082453494218201,0.1716691804927099,0.062350427350427354,0.007817998994469583,0.0022624434389140274,0.0,0.0,0.27872800402212167,0,0,1
3181,2955.0,1077.0,0,0,0,2,900,0.0,0.11552584670231729,0.06309269162210339,0.07705288175876411,0.030175282234105764,0.012917409387997623,0.003784907902554961,0.00267379679144385,0.0,0.2769875222816399,1,1,0,0.0,0.16080128205128205,0.07013888888888889,0.1213568376068376,0.043472222222222225,0.012585470085470086,0.007403846153846154,0.0029594017094017096,0.0,0.30117521367521366,1,1,0
3179,1827.0,3816.0,1,2,2,1,60,0.0013020833333333333,0.23618055555555556,0.09178819444444444,0.2278472222222222,0.08345486111111111,0.0013020833333333333,0.0,0.0005555555555555556,0.0,0.035277777777777776,0,0,1,0.0,0.19,0.13,0.0811111111111111,0.033888888888888885,0.0038888888888888888,0.0022222222222222222,0.0,0.0005555555555555556,0.6266666666666667,2,0,0
